Names,Country,Sponsor,Observed,Tools used
Anchor Panda (CrowdStrike)                      APT 14 (Mandiant)                      Aluminium (Microsoft)                      QAZTeam,China,State-sponsored[comma] PLA Navy,Sectors: Aerospace[comma] Defense[comma] Engineering[comma] Government[comma] Industrial and NGOs in                      the green/brown water regions primarily in the area of operations of the South                      Sea Fleet of the PLA Navy.                      Countries: Australia[comma] Germany[comma] Sweden[comma] UK[comma] USA and others.,Gh0st RAT[comma] Poison Ivy and Torn RAT.
Allanite (Dragos)                     Palmetto Fusion (DHS),[Unknown],[UNKNOWN],Sectors: Energy.                     Countries: UK and USA.,Inveigh[comma] Powershell scripts[comma] PSExec[comma] SecreetsDump and THC Hydra. Information         
APT 3 (Mandiant)                    Gothic Panda (CrowdStrike)                    Buckeye (Symantec)                    TG-0110 (SecureWorks)                    UPS Team (Symantec)                    Group 6 (Talos),China,"State-sponsored[comma] Ministry of State Security and Internet security firm Guangzhou                    Bo Yu Information Technology Company Limited (""Boyusec"").",Sectors: Aerospace[comma] Construction[comma] Defense[comma] High-Tech[comma] Manufacturing[comma]                    Technology[comma] Telecommunications and Transportation.                    Countries: Belgium[comma] Hong Kong[comma] Italy[comma] Luxembourg[comma] Philippines[comma] Sweden[comma] UK[comma] USA                    and Vietnam.,APT3 Keylogger[comma] Bemstour[comma] CookieCutter[comma] DoublePulsar[comma] EternalBlue[comma] HTran[comma]                    Hupigon[comma] Kaba[comma] LaZagne[comma] OSInfo[comma] Pirpi[comma] PlugX[comma] shareip[comma] SHOTPUT[comma] TTCalc[comma]                    w32times and several 0-days for IE[comma] Firefox and Flash.
APT 5 (FireEye),China,[UNKNOWN],Sectors: Defense[comma] High-Tech[comma] Industrial[comma] Technology and Telecommunications.                      Countries: Southeast Asia.,LEOUNCIA.
APT 6 (FireEye)                      1.php Group (Zscaler),China,[UNKNOWN],Sectors: Government.                      Countries: USA.,Poison Ivy.
APT 12 (Mandiant)                    Numbered Panda (CrowdStrike)                    TG-2754 (SecureWorks)                    BeeBus (FireEye)                    Calc Team (Symantec)                    Group 22 (Talos)                    Crimson Iron (ThreatConnect),China,State-sponsored,Sectors: Defense[comma] Electronics[comma] Government[comma] High-Tech[comma] Telecommunications and                    journalists.                    Countries: East Asia (mostly Japan and Taiwan).,AUMLIB[comma] DynCalc/DNSCalc[comma] ETUMBOT[comma] HIGHTIDE[comma] IXESHE[comma] RapidStealer[comma]                    RIPTIDE[comma] THREEBYTE and WaterSpout.
APT 16 (Mandiant)                      SVCMONDR (Kaspersky),China,[UNKNOWN],Sectors: Financial[comma] Government[comma] High-Tech and Media.                      Countries: Japan[comma] Taiwan and Thailand.,ELMER[comma] IRONHALO and SVCMONDR.
APT 17 (Mandiant)                    Tailgater Team (Symantec)                    Dogfish (iDefense)                    Deputy Dog (iDefense),China,State-sponsored,Sectors: Defense[comma] Government[comma] IT[comma] Mining[comma] NGOs and lawyers.                    Countries: Belgium[comma] China[comma] Germany[comma] Indonesia[comma] Italy[comma] Japan[comma] Netherlands[comma]                    Switzerland[comma] Russia[comma] UK and USA.,9002 RAT[comma] BLACKCOFFEE[comma] DeputyDog[comma] HiKit[comma] PlugX and several 0-days for IE.
APT 18 (Mandiant)                    Dynamite Panda (CrowdStrike)                    TG-0416 (SecureWorks)                    Wekby (Palo Alto)                    Scandium (Microsoft),China,State-sponsored[comma] PLA Navy,Sectors: Aerospace[comma] Biotechnology[comma] Construction[comma] Defense[comma] Education[comma]                    Engineering[comma] Healthcare[comma] High-Tech[comma] Telecommunications and Transportation.                    Countries: USA.,Gh0st RAT[comma] hcdLoader[comma] HTTPBrowser[comma] Pisloader[comma] Roseam[comma] StickyFingers and 0-                    day exploits for Flash.
APT 19 (Mandiant)                    Codoso (CrowdStrike)                    Sunshop Group (FireEye),China,A group likely composed of freelancers[comma] with some degree of sponsorship by the                    Chinese government. (FireEye),Sectors: Defense[comma] Education[comma] Energy[comma] Financial[comma] Government[comma] High-Tech[comma]                    Manufacturing[comma] Pharmaceutical[comma] Telecommunications[comma] Think Tanks[comma] political                    dissidents and Forbes.,C0d0so[comma] Cobalt Strike[comma] Empire[comma] Derusbi and a 0-day for Flash.
